Week,flu symptoms: (United States),WEEK
1/4/04,55,1
1/11/04,39,2
1/18/04,31,3
1/25/04,28,4
2/1/04,20,5
2/8/04,26,6
2/15/04,21,7
2/22/04,17,8
2/29/04,10,9
3/7/04,11,10
3/14/04,12,11
3/21/04,16,12
3/28/04,11,13
4/4/04,8,14
4/11/04,8,15
4/18/04,16,16
4/25/04,11,17
5/2/04,7,18
5/9/04,7,19
5/16/04,8,20
5/23/04,7,21
5/30/04,12,22
6/6/04,10,23
6/13/04,7,24
6/20/04,11,25
6/27/04,5,26
7/4/04,7,27
7/11/04,5,28
7/18/04,8,29
7/25/04,7,30
8/1/04,7,31
8/8/04,6,32
8/15/04,4,33
8/22/04,8,34
8/29/04,6,35
9/5/04,11,36
9/12/04,7,37
9/19/04,9,38
9/26/04,14,39
10/3/04,22,40
10/10/04,32,41
10/17/04,44,42
10/24/04,40,43
10/31/04,36,44
11/7/04,39,45
11/14/04,30,46
11/21/04,32,47
11/28/04,42,48
12/5/04,37,49
12/12/04,34,50
12/19/04,39,51
12/26/04,57,52
1/2/05,48,1
1/9/05,42,2
1/16/05,45,3
1/23/05,50,4
1/30/05,57,5
2/6/05,68,6
2/13/05,73,7
2/20/05,74,8
2/27/05,50,9
3/6/05,40,10
3/13/05,34,11
3/20/05,30,12
3/27/05,25,13
4/3/05,26,14
4/10/05,20,15
4/17/05,16,16
4/24/05,18,17
5/1/05,10,18
5/8/05,12,19
5/15/05,8,20
5/22/05,8,21
5/29/05,10,22
6/5/05,8,23
6/12/05,8,24
6/19/05,9,25
6/26/05,7,26
7/3/05,7,27
7/10/05,8,28
7/17/05,8,29
7/24/05,10,30
7/31/05,10,31
8/7/05,10,32
8/14/05,12,33
8/21/05,10,34
8/28/05,11,35
9/4/05,8,36
9/11/05,12,37
9/18/05,17,38
9/25/05,21,39
10/2/05,34,40
10/9/05,50,41
10/16/05,38,42
10/23/05,42,43
10/30/05,56,44
11/6/05,48,45
11/13/05,44,46
11/20/05,40,47
11/27/05,38,48
12/4/05,39,49
12/11/05,38,50
12/18/05,43,51
12/25/05,50,52
1/1/06,45,1
1/8/06,42,2
1/15/06,34,3
1/22/06,37,4
1/29/06,37,5
2/5/06,33,6
2/12/06,43,7
2/19/06,51,8
2/26/06,45,9
3/5/06,43,10
3/12/06,33,11
3/19/06,32,12
3/26/06,29,13
4/2/06,25,14
4/9/06,21,15
4/16/06,19,16
4/23/06,18,17
4/30/06,29,18
5/7/06,23,19
5/14/06,17,20
5/21/06,21,21
5/28/06,17,22
6/4/06,15,23
6/11/06,12,24
6/18/06,11,25
6/25/06,10,26
7/2/06,9,27
7/9/06,11,28
7/16/06,10,29
7/23/06,9,30
7/30/06,9,31
8/6/06,8,32
8/13/06,10,33
8/20/06,8,34
8/27/06,10,35
9/3/06,12,36
9/10/06,11,37
9/17/06,13,38
9/24/06,15,39
10/1/06,18,40
10/8/06,20,41
10/15/06,24,42
10/22/06,27,43
10/29/06,26,44
11/5/06,31,45
11/12/06,32,46
11/19/06,31,47
11/26/06,36,48
12/3/06,37,49
12/10/06,43,50
12/17/06,42,51
12/24/06,45,52
12/31/06,42,1
1/7/07,35,2
1/14/07,34,3
1/21/07,38,4
1/28/07,34,5
2/4/07,49,6
2/11/07,47,7
2/18/07,44,8
2/25/07,41,9
3/4/07,35,10
3/11/07,27,11
3/18/07,26,12
3/25/07,26,13
4/1/07,18,14
4/8/07,17,15
4/15/07,17,16
4/22/07,14,17
4/29/07,13,18
5/6/07,10,19
5/13/07,11,20
5/20/07,10,21
5/27/07,11,22
6/3/07,10,23
6/10/07,11,24
6/17/07,7,25
6/24/07,8,26
7/1/07,10,27
7/8/07,8,28
7/15/07,10,29
7/22/07,10,30
7/29/07,8,31
8/5/07,8,32
8/12/07,8,33
8/19/07,10,34
8/26/07,9,35
9/2/07,11,36
9/9/07,11,37
9/16/07,13,38
9/23/07,16,39
9/30/07,15,40
10/7/07,18,41
10/14/07,23,42
10/21/07,22,43
10/28/07,26,44
11/4/07,33,45
11/11/07,29,46
11/18/07,22,47
11/25/07,25,48
12/2/07,27,49
12/9/07,28,50
12/16/07,26,51
12/23/07,33,52
12/30/07,34,1
1/6/08,34,2
1/13/08,32,3
1/20/08,39,4
1/27/08,57,5
2/3/08,80,6
2/10/08,81,7
2/17/08,100,8
2/24/08,87,9
3/2/08,66,10
3/9/08,54,11
3/16/08,38,12
3/23/08,32,13
3/30/08,26,14
4/6/08,24,15
4/13/08,18,16
4/20/08,15,17
4/27/08,13,18
5/4/08,12,19
5/11/08,12,20
5/18/08,10,21
5/25/08,10,22
6/1/08,9,23
6/8/08,9,24
6/15/08,9,25
6/22/08,8,26
6/29/08,9,27
7/6/08,10,28
7/13/08,9,29
7/20/08,8,30
7/27/08,6,31
8/3/08,10,32
8/10/08,9,33
8/17/08,8,34
8/24/08,10,35
8/31/08,8,36
9/7/08,11,37
9/14/08,12,38
9/21/08,16,39
9/28/08,17,40
10/5/08,19,41
10/12/08,25,42
10/19/08,28,43
10/26/08,27,44
11/2/08,31,45
11/9/08,52,46
11/16/08,33,47
11/23/08,30,48
11/30/08,35,49
12/7/08,34,50
12/14/08,29,51
12/21/08,34,52
12/28/08,34,53
1/4/09,2,1
1/11/09,2,2
1/18/09,2,3
1/25/09,2,4
2/1/09,3,5
2/8/09,3,6
2/15/09,3,7
2/22/09,3,8
3/1/09,3,9
3/8/09,2,10
3/15/09,2,11
3/22/09,2,12
3/29/09,1,13
4/5/09,1,14
4/12/09,1,15
4/19/09,3,16
4/26/09,100,17
5/3/09,34,18
5/10/09,15,19
5/17/09,16,20
5/24/09,11,21
5/31/09,8,22
6/7/09,11,23
6/14/09,10,24
6/21/09,8,25
6/28/09,6,26
7/5/09,6,27
7/12/09,7,28
7/19/09,6,29
7/26/09,8,30
8/2/09,6,31
8/9/09,8,32
8/16/09,8,33
8/23/09,15,34
8/30/09,20,35
9/6/09,23,36
9/13/09,25,37
9/20/09,27,38
9/27/09,29,39
10/4/09,31,40
10/11/09,36,41
10/18/09,44,42
10/25/09,42,43
11/1/09,33,44
11/8/09,23,45
11/15/09,17,46
11/22/09,11,47
11/29/09,9,48
12/6/09,7,49
12/13/09,6,50
12/20/09,6,51
12/27/09,6,52
1/3/10,5,1
1/10/10,4,2
1/17/10,4,3
1/24/10,3,4
1/31/10,3,5
2/7/10,3,6
2/14/10,3,7
2/21/10,3,8
2/28/10,3,9
3/7/10,2,10
3/14/10,2,11
3/21/10,2,12
3/28/10,2,13
4/4/10,2,14
4/11/10,1,15
4/18/10,1,16
4/25/10,1,17
5/2/10,1,18
5/9/10,1,19
5/16/10,1,20
5/23/10,1,21
5/30/10,1,22
6/6/10,1,23
6/13/10,1,24
6/20/10,1,25
6/27/10,1,26
7/4/10,1,27
7/11/10,1,28
7/18/10,1,29
7/25/10,1,30
8/1/10,1,31
8/8/10,1,32
8/15/10,1,33
8/22/10,1,34
8/29/10,1,35
9/5/10,1,36
9/12/10,1,37
9/19/10,1,38
9/26/10,2,39
10/3/10,2,40
10/10/10,2,41
10/17/10,2,42
10/24/10,2,43
10/31/10,2,44
11/7/10,2,45
11/14/10,2,46
11/21/10,2,47
11/28/10,3,48
12/5/10,2,49
12/12/10,3,50
12/19/10,3,51
12/26/10,4,52
1/2/11,4,1
1/9/11,4,2
1/16/11,4,3
1/23/11,5,4
1/30/11,5,5
2/6/11,5,6
2/13/11,5,7
2/20/11,4,8
2/27/11,4,9
3/6/11,3,10
3/13/11,3,11
3/20/11,2,12
3/27/11,2,13
4/3/11,2,14
4/10/11,1,15
4/17/11,1,16
4/24/11,1,17
5/1/11,1,18
5/8/11,1,19
5/15/11,1,20
5/22/11,1,21
5/29/11,1,22
6/5/11,1,23
6/12/11,1,24
6/19/11,1,25
6/26/11,1,26
7/3/11,1,27
7/10/11,1,28
7/17/11,1,29
7/24/11,1,30
7/31/11,1,31
8/7/11,1,32
8/14/11,1,33
8/21/11,1,34
8/28/11,1,35
9/4/11,1,36
9/11/11,2,37
9/18/11,2,38
9/25/11,2,39
10/2/11,2,40
10/9/11,2,41
10/16/11,2,42
10/23/11,2,43
10/30/11,2,44
11/6/11,3,45
11/13/11,3,46
11/20/11,2,47
11/27/11,3,48
12/4/11,2,49
12/11/11,3,50
12/18/11,3,51
12/25/11,3,52
1/1/12,3,1
1/8/12,3,2
1/15/12,3,3
1/22/12,2,4
1/29/12,3,5
2/5/12,3,6
2/12/12,3,7
2/19/12,3,8
2/26/12,3,9
3/4/12,3,10
3/11/12,3,11
3/18/12,2,12
3/25/12,2,13
4/1/12,2,14
4/8/12,2,15
4/15/12,2,16
4/22/12,2,17
4/29/12,1,18
5/6/12,1,19
5/13/12,1,20
5/20/12,1,21
5/27/12,1,22
6/3/12,1,23
6/10/12,1,24
6/17/12,1,25
6/24/12,1,26
7/1/12,1,27
7/8/12,1,28
7/15/12,1,29
7/22/12,1,30
7/29/12,1,31
8/5/12,1,32
8/12/12,1,33
8/19/12,1,34
8/26/12,2,35
9/2/12,2,36
9/9/12,2,37
9/16/12,2,38
9/23/12,2,39
9/30/12,3,40
10/7/12,3,41
10/14/12,3,42
10/21/12,3,43
10/28/12,3,44
11/4/12,3,45
11/11/12,3,46
11/18/12,3,47
11/25/12,4,48
12/2/12,6,49
12/9/12,6,50
12/16/12,7,51
12/23/12,8,52
12/30/12,10,1
1/6/13,22,2
1/13/13,21,3
1/20/13,14,4
1/27/13,10,5
2/3/13,7,6
2/10/13,5,7
2/17/13,5,8
2/24/13,4,9
3/3/13,4,10
3/10/13,3,11
3/17/13,3,12
3/24/13,3,13
3/31/13,3,14
4/7/13,2,15
4/14/13,2,16
4/21/13,2,17
4/28/13,2,18
5/5/13,1,19
5/12/13,1,20
5/19/13,1,21
5/26/13,1,22
6/2/13,1,23
6/9/13,1,24
6/16/13,1,25
6/23/13,1,26
6/30/13,1,27
7/7/13,1,28
7/14/13,1,29
7/21/13,1,30
7/28/13,1,31
8/4/13,1,32
8/11/13,1,33
8/18/13,1,34
8/25/13,1,35
9/1/13,1,36
9/8/13,1,37
9/15/13,2,38
9/22/13,2,39
9/29/13,2,40
10/6/13,2,41
10/13/13,2,42
10/20/13,2,43
10/27/13,3,44
11/3/13,3,45
11/10/13,3,46
11/17/13,3,47
11/24/13,3,48
12/1/13,3,49
12/8/13,3,50
12/15/13,5,51
12/22/13,7,52
12/29/13,9,1
1/5/14,32,2
1/12/14,31,3
1/19/14,27,4
1/26/14,21,5
2/2/14,17,6
2/9/14,13,7
2/16/14,12,8
2/23/14,10,9
3/2/14,9,10
3/9/14,8,11
3/16/14,8,12
3/23/14,8,13
3/30/14,7,14
4/6/14,7,15
4/13/14,6,16
4/20/14,6,17
4/27/14,5,18
5/4/14,5,19
5/11/14,5,20
5/18/14,4,21
5/25/14,4,22
6/1/14,3,23
6/8/14,3,24
6/15/14,3,25
6/22/14,3,26
6/29/14,2,27
7/6/14,3,28
7/13/14,3,29
7/20/14,3,30
7/27/14,3,31
8/3/14,3,32
8/10/14,3,33
8/17/14,3,34
8/24/14,3,35
8/31/14,4,36
9/7/14,4,37
9/14/14,5,38
9/21/14,6,39
9/28/14,7,40
10/5/14,9,41
10/12/14,11,42
10/19/14,10,43
10/26/14,9,44
11/2/14,9,45
11/9/14,8,46
11/16/14,10,47
11/23/14,10,48
11/30/14,14,49
12/7/14,18,50
12/14/14,28,51
12/21/14,36,52
12/28/14,38,53
1/4/15,33,1
1/11/15,28,2
1/18/15,25,3
1/25/15,23,4
2/1/15,18,5
2/8/15,16,6
2/15/15,16,7
2/22/15,13,8
3/1/15,12,9
3/8/15,11,10
3/15/15,9,11
3/22/15,8,12
3/29/15,7,13
4/5/15,8,14
4/12/15,8,15
4/19/15,8,16
4/26/15,6,17
5/3/15,5,18
5/10/15,4,19
5/17/15,5,20
5/24/15,4,21
5/31/15,4,22
6/7/15,4,23
6/14/15,3,24
6/21/15,3,25
6/28/15,3,26
7/5/15,3,27
7/12/15,3,28
7/19/15,3,29
7/26/15,3,30
8/2/15,3,31
8/9/15,3,32
8/16/15,3,33
8/23/15,3,34
8/30/15,3,35
9/6/15,4,36
9/13/15,5,37
9/20/15,7,38
9/27/15,7,39
10/4/15,8,40
10/11/15,8,41
10/18/15,8,42
10/25/15,8,43
11/1/15,8,44
11/8/15,8,45
11/15/15,9,46
11/22/15,8,47
11/29/15,9,48
12/6/15,8,49
12/13/15,8,50
12/20/15,10,51
12/27/15,10,52
1/3/16,10,1
1/10/16,8,2
1/17/16,9,3
1/24/16,9,4
1/31/16,10,5
2/7/16,11,6
2/14/16,13,7
2/21/16,15,8
2/28/16,16,9
3/6/16,17,10
3/13/16,14,11
3/20/16,12,12
3/27/16,11,13
4/3/16,9,14
4/10/16,8,15
4/17/16,8,16
4/24/16,7,17
5/1/16,6,18
5/8/16,5,19
5/15/16,5,20
5/22/16,4,21
5/29/16,4,22
6/5/16,4,23
6/12/16,3,24
6/19/16,3,25
6/26/16,3,26
7/3/16,3,27
7/10/16,3,28
7/17/16,3,29
7/24/16,3,30
7/31/16,3,31
8/7/16,3,32
8/14/16,3,33
8/21/16,3,34
8/28/16,4,35
9/4/16,4,36
9/11/16,5,37
9/18/16,6,38
9/25/16,7,39
10/2/16,7,40
10/9/16,8,41
10/16/16,7,42
10/23/16,8,43
10/30/16,8,44
11/6/16,7,45
11/13/16,8,46
11/20/16,7,47
11/27/16,9,48
12/4/16,8,49
12/11/16,9,50
12/18/16,11,51
12/25/16,14,52
1/1/17,15,1
1/8/17,14,2
1/15/17,15,3
1/22/17,15,4
1/29/17,19,5
2/5/17,24,6
2/12/17,24,7
2/19/17,22,8
2/26/17,15,9
3/5/17,13,10
3/12/17,13,11
3/19/17,13,12
3/26/17,11,13
4/2/17,9,14
4/9/17,7,15
4/16/17,6,16
4/23/17,6,17
4/30/17,5,18
5/7/17,5,19
5/14/17,4,20
5/21/17,4,21
5/28/17,4,22
6/4/17,4,23
6/11/17,4,24
6/18/17,3,25
6/25/17,3,26
7/2/17,3,27
7/9/17,3,28
7/16/17,3,29
7/23/17,3,30
7/30/17,3,31
8/6/17,3,32
8/13/17,3,33
8/20/17,3,34
8/27/17,4,35
9/3/17,5,36
9/10/17,5,37
9/17/17,6,38
9/24/17,7,39
10/1/17,7,40
10/8/17,8,41
10/15/17,8,42
10/22/17,9,43
10/29/17,10,44
11/5/17,10,45
11/12/17,11,46
11/19/17,10,47
11/26/17,12,48
12/3/17,14,49
12/10/17,17,50
12/17/17,27,51
12/24/17,36,52
12/31/17,41,1
1/7/18,61,2
1/14/18,83,3
1/21/18,96,4
1/28/18,100,5
2/4/18,90,6
2/11/18,76,7
2/18/18,45,8
2/25/18,28,9
3/4/18,21,10
3/11/18,16,11
3/18/18,13,12
3/25/18,14,13
4/1/18,11,14
4/8/18,9,15
4/15/18,8,16
4/22/18,6,17
4/29/18,6,18
5/6/18,5,19
5/13/18,5,20
5/20/18,4,21
5/27/18,5,22
6/3/18,4,23
6/10/18,4,24
6/17/18,3,25
6/24/18,3,26
7/1/18,3,27
7/8/18,3,28
7/15/18,3,29
7/22/18,3,30
7/29/18,3,31
8/5/18,4,32
8/12/18,3,33
8/19/18,4,34
8/26/18,4,35
9/2/18,6,36
9/9/18,6,37
9/16/18,7,38
9/23/18,9,39
9/30/18,9,40
10/7/18,10,41
10/14/18,12,42
10/21/18,12,43
10/28/18,12,44
11/4/18,11,45
11/11/18,12,46
11/18/18,11,47
11/25/18,13,48
12/2/18,12,49
12/9/18,13,50
12/16/18,16,51
12/23/18,21,52
12/30/18,22,1
1/6/19,21,2
1/13/19,19,3
1/20/19,22,4
1/27/19,24,5
2/3/19,30,6
2/10/19,29,7
2/17/19,28,8
2/24/19,25,9
3/3/19,22,10
3/10/19,21,11
3/17/19,18,12
3/24/19,14,13
3/31/19,12,14
4/7/19,10,15
4/14/19,8,16
4/21/19,7,17
4/28/19,6,18
5/5/19,6,19
5/12/19,6,20
5/19/19,5,21
5/26/19,5,22
6/2/19,4,23
6/9/19,4,24
6/16/19,4,25
6/23/19,4,26
6/30/19,3,27
