Week,gripe: (United States),WEEK
1/4/04,25,1
1/11/04,19,2
1/18/04,31,3
1/25/04,15,4
2/1/04,15,5
2/8/04,30,6
2/15/04,35,7
2/22/04,31,8
2/29/04,12,9
3/7/04,24,10
3/14/04,22,11
3/21/04,100,12
3/28/04,37,13
4/4/04,15,14
4/11/04,27,15
4/18/04,14,16
4/25/04,16,17
5/2/04,27,18
5/9/04,23,19
5/16/04,30,20
5/23/04,24,21
5/30/04,23,22
6/6/04,22,23
6/13/04,22,24
6/20/04,15,25
6/27/04,17,26
7/4/04,31,27
7/11/04,14,28
7/18/04,21,29
7/25/04,26,30
8/1/04,28,31
8/8/04,16,32
8/15/04,21,33
8/22/04,30,34
8/29/04,15,35
9/5/04,20,36
9/12/04,18,37
9/19/04,20,38
9/26/04,14,39
10/3/04,18,40
10/10/04,22,41
10/17/04,34,42
10/24/04,14,43
10/31/04,27,44
11/7/04,31,45
11/14/04,22,46
11/21/04,14,47
11/28/04,27,48
12/5/04,22,49
12/12/04,19,50
12/19/04,17,51
12/26/04,13,52
1/2/05,25,1
1/9/05,16,2
1/16/05,27,3
1/23/05,20,4
1/30/05,22,5
2/6/05,23,6
2/13/05,22,7
2/20/05,32,8
2/27/05,28,9
3/6/05,16,10
3/13/05,30,11
3/20/05,26,12
3/27/05,20,13
4/3/05,25,14
4/10/05,33,15
4/17/05,21,16
4/24/05,17,17
5/1/05,12,18
5/8/05,29,19
5/15/05,32,20
5/22/05,29,21
5/29/05,21,22
6/5/05,23,23
6/12/05,23,24
6/19/05,25,25
6/26/05,20,26
7/3/05,23,27
7/10/05,30,28
7/17/05,43,29
7/24/05,35,30
7/31/05,22,31
8/7/05,37,32
8/14/05,31,33
8/21/05,23,34
8/28/05,24,35
9/4/05,21,36
9/11/05,15,37
9/18/05,22,38
9/25/05,23,39
10/2/05,31,40
10/9/05,39,41
10/16/05,58,42
10/23/05,53,43
10/30/05,46,44
11/6/05,27,45
11/13/05,23,46
11/20/05,28,47
11/27/05,21,48
12/4/05,18,49
12/11/05,26,50
12/18/05,25,51
12/25/05,22,52
1/1/06,17,1
1/8/06,29,2
1/15/06,40,3
1/22/06,25,4
1/29/06,26,5
2/5/06,20,6
2/12/06,23,7
2/19/06,43,8
2/26/06,35,9
3/5/06,31,10
3/12/06,33,11
3/19/06,29,12
3/26/06,30,13
4/2/06,27,14
4/9/06,22,15
4/16/06,25,16
4/23/06,21,17
4/30/06,24,18
5/7/06,24,19
5/14/06,22,20
5/21/06,30,21
5/28/06,25,22
6/4/06,23,23
6/11/06,29,24
6/18/06,33,25
6/25/06,26,26
7/2/06,19,27
7/9/06,25,28
7/16/06,18,29
7/23/06,36,30
7/30/06,25,31
8/6/06,25,32
8/13/06,26,33
8/20/06,27,34
8/27/06,29,35
9/3/06,30,36
9/10/06,24,37
9/17/06,22,38
9/24/06,22,39
10/1/06,27,40
10/8/06,24,41
10/15/06,31,42
10/22/06,24,43
10/29/06,21,44
11/5/06,26,45
11/12/06,26,46
11/19/06,23,47
11/26/06,29,48
12/3/06,25,49
12/10/06,17,50
12/17/06,15,51
12/24/06,28,52
12/31/06,29,1
1/7/07,24,2
1/14/07,30,3
1/21/07,17,4
1/28/07,27,5
2/4/07,22,6
2/11/07,25,7
2/18/07,18,8
2/25/07,19,9
3/4/07,30,10
3/11/07,17,11
3/18/07,28,12
3/25/07,29,13
4/1/07,32,14
4/8/07,29,15
4/15/07,30,16
4/22/07,27,17
4/29/07,20,18
5/6/07,27,19
5/13/07,30,20
5/20/07,22,21
5/27/07,25,22
6/3/07,32,23
6/10/07,27,24
6/17/07,19,25
6/24/07,22,26
7/1/07,20,27
7/8/07,25,28
7/15/07,26,29
7/22/07,20,30
7/29/07,27,31
8/5/07,29,32
8/12/07,35,33
8/19/07,32,34
8/26/07,33,35
9/2/07,35,36
9/9/07,31,37
9/16/07,50,38
9/23/07,35,39
9/30/07,33,40
10/7/07,33,41
10/14/07,37,42
10/21/07,36,43
10/28/07,29,44
11/4/07,33,45
11/11/07,21,46
11/18/07,29,47
11/25/07,32,48
12/2/07,31,49
12/9/07,24,50
12/16/07,26,51
12/23/07,27,52
12/30/07,34,1
1/6/08,34,2
1/13/08,29,3
1/20/08,20,4
1/27/08,33,5
2/3/08,31,6
2/10/08,30,7
2/17/08,31,8
2/24/08,26,9
3/2/08,29,10
3/9/08,29,11
3/16/08,32,12
3/23/08,36,13
3/30/08,43,14
4/6/08,36,15
4/13/08,37,16
4/20/08,29,17
4/27/08,28,18
5/4/08,28,19
5/11/08,35,20
5/18/08,42,21
5/25/08,31,22
6/1/08,36,23
6/8/08,31,24
6/15/08,36,25
6/22/08,41,26
6/29/08,33,27
7/6/08,33,28
7/13/08,36,29
7/20/08,37,30
7/27/08,35,31
8/3/08,31,32
8/10/08,31,33
8/17/08,38,34
8/24/08,33,35
8/31/08,43,36
9/7/08,32,37
9/14/08,34,38
9/21/08,33,39
9/28/08,34,40
10/5/08,40,41
10/12/08,37,42
10/19/08,37,43
10/26/08,35,44
11/2/08,43,45
11/9/08,37,46
11/16/08,34,47
11/23/08,35,48
11/30/08,28,49
12/7/08,39,50
12/14/08,34,51
12/21/08,31,52
12/28/08,43,53
1/4/09,2,1
1/11/09,1,2
1/18/09,1,3
1/25/09,1,4
2/1/09,1,5
2/8/09,1,6
2/15/09,2,7
2/22/09,1,8
3/1/09,2,9
3/8/09,2,10
3/15/09,2,11
3/22/09,2,12
3/29/09,2,13
4/5/09,2,14
4/12/09,2,15
4/19/09,6,16
4/26/09,100,17
5/3/09,35,18
5/10/09,20,19
5/17/09,16,20
5/24/09,19,21
5/31/09,17,22
6/7/09,18,23
6/14/09,18,24
6/21/09,26,25
6/28/09,52,26
7/5/09,27,27
7/12/09,23,28
7/19/09,23,29
7/26/09,30,30
8/2/09,34,31
8/9/09,34,32
8/16/09,25,33
8/23/09,19,34
8/30/09,15,35
9/6/09,10,36
9/13/09,9,37
9/20/09,9,38
9/27/09,9,39
10/4/09,8,40
10/11/09,7,41
10/18/09,6,42
10/25/09,7,43
11/1/09,6,44
11/8/09,6,45
11/15/09,5,46
11/22/09,5,47
11/29/09,4,48
12/6/09,4,49
12/13/09,3,50
12/20/09,3,51
12/27/09,3,52
1/3/10,2,1
1/10/10,3,2
1/17/10,3,3
1/24/10,2,4
1/31/10,2,5
2/7/10,2,6
2/14/10,2,7
2/21/10,3,8
2/28/10,4,9
3/7/10,5,10
3/14/10,5,11
3/21/10,7,12
3/28/10,5,13
4/4/10,9,14
4/11/10,7,15
4/18/10,6,16
4/25/10,5,17
5/2/10,5,18
5/9/10,5,19
5/16/10,5,20
5/23/10,4,21
5/30/10,5,22
6/6/10,4,23
6/13/10,3,24
6/20/10,3,25
6/27/10,3,26
7/4/10,3,27
7/11/10,2,28
7/18/10,2,29
7/25/10,3,30
8/1/10,2,31
8/8/10,3,32
8/15/10,3,33
8/22/10,3,34
8/29/10,3,35
9/5/10,3,36
9/12/10,2,37
9/19/10,2,38
9/26/10,2,39
10/3/10,2,40
10/10/10,2,41
10/17/10,2,42
10/24/10,3,43
10/31/10,2,44
11/7/10,3,45
11/14/10,2,46
11/21/10,3,47
11/28/10,2,48
12/5/10,2,49
12/12/10,3,50
12/19/10,2,51
12/26/10,3,52
1/2/11,2,1
1/9/11,2,2
1/16/11,2,3
1/23/11,2,4
1/30/11,1,5
2/6/11,2,6
2/13/11,2,7
2/20/11,1,8
2/27/11,2,9
3/6/11,2,10
3/13/11,1,11
3/20/11,2,12
3/27/11,2,13
4/3/11,1,14
4/10/11,2,15
4/17/11,2,16
4/24/11,1,17
5/1/11,1,18
5/8/11,1,19
5/15/11,1,20
5/22/11,1,21
5/29/11,1,22
6/5/11,1,23
6/12/11,1,24
6/19/11,1,25
6/26/11,2,26
7/3/11,2,27
7/10/11,2,28
7/17/11,2,29
7/24/11,2,30
7/31/11,2,31
8/7/11,2,32
8/14/11,1,33
8/21/11,2,34
8/28/11,2,35
9/4/11,2,36
9/11/11,1,37
9/18/11,2,38
9/25/11,2,39
10/2/11,2,40
10/9/11,2,41
10/16/11,2,42
10/23/11,2,43
10/30/11,2,44
11/6/11,2,45
11/13/11,2,46
11/20/11,2,47
11/27/11,2,48
12/4/11,2,49
12/11/11,2,50
12/18/11,2,51
12/25/11,2,52
1/1/12,2,1
1/8/12,2,2
1/15/12,2,3
1/22/12,2,4
1/29/12,2,5
2/5/12,2,6
2/12/12,2,7
2/19/12,2,8
2/26/12,2,9
3/4/12,2,10
3/11/12,2,11
3/18/12,2,12
3/25/12,2,13
4/1/12,2,14
4/8/12,2,15
4/15/12,2,16
4/22/12,2,17
4/29/12,2,18
5/6/12,2,19
5/13/12,2,20
5/20/12,2,21
5/27/12,2,22
6/3/12,2,23
6/10/12,2,24
6/17/12,2,25
6/24/12,2,26
7/1/12,2,27
7/8/12,2,28
7/15/12,2,29
7/22/12,2,30
7/29/12,2,31
8/5/12,2,32
8/12/12,2,33
8/19/12,2,34
8/26/12,2,35
9/2/12,2,36
9/9/12,2,37
9/16/12,2,38
9/23/12,2,39
9/30/12,2,40
10/7/12,2,41
10/14/12,2,42
10/21/12,2,43
10/28/12,2,44
11/4/12,2,45
11/11/12,2,46
11/18/12,2,47
11/25/12,2,48
12/2/12,2,49
12/9/12,2,50
12/16/12,2,51
12/23/12,3,52
12/30/12,3,1
1/6/13,3,2
1/13/13,3,3
1/20/13,3,4
1/27/13,3,5
2/3/13,3,6
2/10/13,2,7
2/17/13,3,8
2/24/13,2,9
3/3/13,2,10
3/10/13,3,11
3/17/13,2,12
3/24/13,2,13
3/31/13,2,14
4/7/13,2,15
4/14/13,2,16
4/21/13,3,17
4/28/13,2,18
5/5/13,2,19
5/12/13,2,20
5/19/13,3,21
5/26/13,3,22
6/2/13,3,23
6/9/13,3,24
6/16/13,3,25
6/23/13,3,26
6/30/13,2,27
7/7/13,2,28
7/14/13,2,29
7/21/13,2,30
7/28/13,2,31
8/4/13,2,32
8/11/13,2,33
8/18/13,2,34
8/25/13,2,35
9/1/13,3,36
9/8/13,2,37
9/15/13,2,38
9/22/13,3,39
9/29/13,3,40
10/6/13,3,41
10/13/13,2,42
10/20/13,3,43
10/27/13,2,44
11/3/13,3,45
11/10/13,3,46
11/17/13,3,47
11/24/13,2,48
12/1/13,3,49
12/8/13,2,50
12/15/13,2,51
12/22/13,2,52
12/29/13,3,1
1/5/14,64,2
1/12/14,67,3
1/19/14,63,4
1/26/14,62,5
2/2/14,57,6
2/9/14,52,7
2/16/14,54,8
2/23/14,52,9
3/2/14,53,10
3/9/14,52,11
3/16/14,50,12
3/23/14,53,13
3/30/14,51,14
4/6/14,54,15
4/13/14,54,16
4/20/14,53,17
4/27/14,52,18
5/4/14,47,19
5/11/14,51,20
5/18/14,52,21
5/25/14,47,22
6/1/14,47,23
6/8/14,43,24
6/15/14,42,25
6/22/14,50,26
6/29/14,46,27
7/6/14,44,28
7/13/14,44,29
7/20/14,48,30
7/27/14,50,31
8/3/14,47,32
8/10/14,51,33
8/17/14,49,34
8/24/14,49,35
8/31/14,52,36
9/7/14,49,37
9/14/14,46,38
9/21/14,58,39
9/28/14,55,40
10/5/14,58,41
10/12/14,54,42
10/19/14,58,43
10/26/14,56,44
11/2/14,51,45
11/9/14,52,46
11/16/14,52,47
11/23/14,54,48
11/30/14,60,49
12/7/14,59,50
12/14/14,52,51
12/21/14,58,52
12/28/14,69,53
1/4/15,79,1
1/11/15,63,2
1/18/15,58,3
1/25/15,58,4
2/1/15,58,5
2/8/15,62,6
2/15/15,54,7
2/22/15,58,8
3/1/15,55,9
3/8/15,57,10
3/15/15,55,11
3/22/15,53,12
3/29/15,46,13
4/5/15,49,14
4/12/15,49,15
4/19/15,50,16
4/26/15,52,17
5/3/15,53,18
5/10/15,53,19
5/17/15,56,20
5/24/15,48,21
5/31/15,57,22
6/7/15,49,23
6/14/15,52,24
6/21/15,44,25
6/28/15,41,26
7/5/15,49,27
7/12/15,42,28
7/19/15,42,29
7/26/15,46,30
8/2/15,50,31
8/9/15,43,32
8/16/15,49,33
8/23/15,46,34
8/30/15,50,35
9/6/15,50,36
9/13/15,55,37
9/20/15,57,38
9/27/15,53,39
10/4/15,55,40
10/11/15,57,41
10/18/15,63,42
10/25/15,54,43
11/1/15,54,44
11/8/15,59,45
11/15/15,57,46
11/22/15,55,47
11/29/15,55,48
12/6/15,58,49
12/13/15,53,50
12/20/15,56,51
12/27/15,63,52
1/3/16,66,1
1/10/16,59,2
1/17/16,64,3
1/24/16,58,4
1/31/16,62,5
2/7/16,64,6
2/14/16,67,7
2/21/16,61,8
2/28/16,63,9
3/6/16,59,10
3/13/16,58,11
3/20/16,60,12
3/27/16,61,13
4/3/16,57,14
4/10/16,56,15
4/17/16,55,16
4/24/16,56,17
5/1/16,55,18
5/8/16,45,19
5/15/16,53,20
5/22/16,55,21
5/29/16,51,22
6/5/16,49,23
6/12/16,50,24
6/19/16,46,25
6/26/16,48,26
7/3/16,47,27
7/10/16,50,28
7/17/16,49,29
7/24/16,51,30
7/31/16,52,31
8/7/16,51,32
8/14/16,47,33
8/21/16,52,34
8/28/16,61,35
9/4/16,66,36
9/11/16,62,37
9/18/16,63,38
9/25/16,57,39
10/2/16,53,40
10/9/16,60,41
10/16/16,58,42
10/23/16,57,43
10/30/16,54,44
11/6/16,53,45
11/13/16,60,46
11/20/16,55,47
11/27/16,64,48
12/4/16,57,49
12/11/16,62,50
12/18/16,65,51
12/25/16,68,52
1/1/17,72,1
1/8/17,71,2
1/15/17,74,3
1/22/17,65,4
1/29/17,74,5
2/5/17,70,6
2/12/17,63,7
2/19/17,60,8
2/26/17,61,9
3/5/17,61,10
3/12/17,58,11
3/19/17,60,12
3/26/17,71,13
4/2/17,54,14
4/9/17,53,15
4/16/17,53,16
4/23/17,49,17
4/30/17,52,18
5/7/17,55,19
5/14/17,55,20
5/21/17,57,21
5/28/17,52,22
6/4/17,55,23
6/11/17,51,24
6/18/17,51,25
6/25/17,52,26
7/2/17,50,27
7/9/17,52,28
7/16/17,53,29
7/23/17,59,30
7/30/17,55,31
8/6/17,55,32
8/13/17,52,33
8/20/17,57,34
8/27/17,62,35
9/3/17,62,36
9/10/17,64,37
9/17/17,64,38
9/24/17,63,39
10/1/17,61,40
10/8/17,60,41
10/15/17,64,42
10/22/17,65,43
10/29/17,60,44
11/5/17,69,45
11/12/17,66,46
11/19/17,66,47
11/26/17,70,48
12/3/17,75,49
12/10/17,70,50
12/17/17,77,51
12/24/17,90,52
12/31/17,89,1
1/7/18,100,2
1/14/18,85,3
1/21/18,87,4
1/28/18,89,5
2/4/18,84,6
2/11/18,78,7
2/18/18,77,8
2/25/18,70,9
3/4/18,71,10
3/11/18,70,11
3/18/18,69,12
3/25/18,65,13
4/1/18,70,14
4/8/18,70,15
4/15/18,67,16
4/22/18,65,17
4/29/18,59,18
5/6/18,60,19
5/13/18,64,20
5/20/18,61,21
5/27/18,67,22
6/3/18,60,23
6/10/18,59,24
6/17/18,61,25
6/24/18,57,26
7/1/18,52,27
7/8/18,59,28
7/15/18,58,29
7/22/18,59,30
7/29/18,61,31
8/5/18,60,32
8/12/18,57,33
8/19/18,60,34
8/26/18,64,35
9/2/18,67,36
9/9/18,73,37
9/16/18,65,38
9/23/18,68,39
9/30/18,68,40
10/7/18,67,41
10/14/18,68,42
10/21/18,75,43
10/28/18,68,44
11/4/18,69,45
11/11/18,72,46
11/18/18,70,47
11/25/18,74,48
12/2/18,74,49
12/9/18,74,50
12/16/18,78,51
12/23/18,91,52
12/30/18,93,1
1/6/19,92,2
1/13/19,81,3
1/20/19,84,4
1/27/19,86,5
2/3/19,81,6
2/10/19,76,7
2/17/19,100,8
2/24/19,79,9
3/3/19,75,10
3/10/19,77,11
3/17/19,78,12
3/24/19,75,13
3/31/19,69,14
4/7/19,60,15
4/14/19,66,16
4/21/19,64,17
4/28/19,61,18
5/5/19,64,19
5/12/19,63,20
5/19/19,69,21
5/26/19,65,22
6/2/19,63,23
6/9/19,63,24
6/16/19,65,25
6/23/19,59,26
6/30/19,55,27
